terrai_cod,terrai_nom,etnia_nome,municipio_,uf_sigla,superficie,fase_ti,modalidade,reestudo_t,superfic_1,lon,lat
37401,Praia do Mangue,Mundurukú,Itaituba,PA,318449,Encaminhada RI,Reserva Indigena,,,,
37701,Raimundão,"Makuxí, Wapixana",Alto Alegre,RR,42768088,Regularizada,Tradicionalmente ocupada,,,,
37801,Rancho Jacaré,Guarani Kaiowá,Laguna Carapã,MS,7775349,Regularizada,Tradicionalmente ocupada,,,,
37901,Raposa Serra do Sol,"Wapixana, Ingariko, Makuxi, Taulipang","Normandia, Pacaraima, Uiramutã",RR,17474647800,Regularizada,Tradicionalmente ocupada,,,,
38001,Recreio/São Félix,Múra,Autazes,AM,251051,Regularizada,Tradicionalmente ocupada,,,,
38102,Ribeirão Silveira,"Bertioga, Salesópolis, São Sebastião",Guarani,SP,84689333,Declarada,Tradicionalmente ocupada,Reestudo,,,
38201,Rio Apaporis,"Makú, Tukano, Desana, Tuyuca",Japurá,AM,1069603380,Regularizada,Tradicionalmente ocupada,,,,
38301,Rio Areia,Guaraní,Inácio Martins,PR,13523784,Regularizada,Tradicionalmente ocupada,,,,
38501,Rio Biá,Katukina,"Jutaí, Carauari",AM,0,Regularizada,Tradicionalmente ocupada,,,,
38601,Rio Branco,"Tupaiu, Makurap","Alta Floresta D`Oeste,São Miguel D'Oeste, São Francisco do Guapore",RO,0,Regularizada,Tradicionalmente ocupada,,,,
38701,Rio Branco Itanhaém,Guaraní,"Itanhaém, São Vicente, São Paulo",SP,0,Regularizada,Tradicionalmente ocupada,,,,
38902,Kuruáya,Kuruáya,Altamira,PA,1667842500,Regularizada,Tradicionalmente ocupada,,,,
39001,Rio das Cobras,"Kaingang, Guarani","Espigão Alto do Iguaçu, Nova Laranjeiras",PR,186819806,Regularizada,Tradicionalmente ocupada,,,,
39101,Rio dos Índios,Kaingang,Vicente Dutra,RS,7117018,Declarada,Tradicionalmente ocupada,,,,
39201,Rio dos Pardos,Xokléng,Porto União,SC,7582614,Regularizada,Tradicionalmente ocupada,,,,
39301,Rio Formoso,Paresí,Tangará da Serra,MT,197494741,Regularizada,Tradicionalmente ocupada,,,,
39401,Rio Gregório,"Katukina, Yawanawa",Tarauacá,AC,92859749,Regularizada,Tradicionalmente ocupada,,X,,
39402,Rio Gregório,"Katukina, Yawanawa",Tarauacá,AC,1871252160,Declarada,Tradicionalmente ocupada,Reestudo,,,
39501,Rio Guaporé,Makuráp,Guajará-Mirim,RO,1157880840,Regularizada,Tradicionalmente ocupada,,,,
39601,Rio Jumas,Múra,Careiro,AM,94626983,Regularizada,Tradicionalmente ocupada,,,,
39701,Rio Manicoré,Múra,Manicoré,AM,19481,Regularizada,Tradicionalmente ocupada,,,,
39801,Rio Mequens,Sakurabiat,Alto Alegre dos Parecis,RO,1075530100,Regularizada,Tradicionalmente ocupada,,,,
40001,Rio Negro Ocaia,Pakaa Nova,Guajará-Mirim,RO,104063,Regularizada,Tradicionalmente ocupada,,X,,
40002,Rio Negro Ocaia,Pakaa Nova,Guajará-Mirim,RO,235070,Declarada,Tradicionalmente ocupada,Reestudo,,,
40101,Rio Omerê,"Kanoé, Akuntsu",Chupinguaia,RO,261771864,Homologada,Tradicionalmente ocupada,,,,
40201,Rio Paru DEste,"Apalaí, Wayana","Alenquer, Almerim, Monte Alegre",PA,11957857900,Regularizada,Tradicionalmente ocupada,,,,
40301,Rio Pindaré,Tenetehara,"Bom Jardim, Monção",MA,150029142,Regularizada,Tradicionalmente ocupada,,,,
40401,Rio Téa,"Baré, Desana, Piratapuya, Tukano, Maku,",São Gabriel da Cachoeira,AM,4118653210,Regularizada,Tradicionalmente ocupada,,,,
40501,Rio Urubu,Múra,Itacoatiara,AM,273549118,Regularizada,Tradicionalmente ocupada,,,,
40601,Rodeador,Tenetehara,Barra do Corda,MA,23194531,Regularizada,Dominial Indígena,,,,
40701,Roosevelt,Cinta Larga,"Espigão D`Oeste , Rondolandia, Pimenta Bueno",MT/RO,2308263010,Regularizada,Tradicionalmente ocupada,,,,
40801,Sagarana,Pakaa Nova,Guajará-Mirim,RO,181200636,Regularizada,Tradicionalmente ocupada,,,,
40901,Sai-Cinza,Mundurukú,Jacareacanga,PA,0,Regularizada,Tradicionalmente ocupada,,,,
41001,Salto Grande do Jacuí,Guaraní,Salto do Jacuí,RS,2349641,Regularizada,Tradicionalmente ocupada,,,,
41101,Sangradouro/Volta Grande,"Xavante, Bororo","Novo São Joaquim, General Carneiro, Poxoreu",MT,1002803970,Regularizada,Tradicionalmente ocupada,,,,
41201,Santa Inez,Makuxí,Amajari,RR,296980449,Regularizada,Tradicionalmente ocupada,,,,
41301,Santana,Bakairí,Nobres,MT,354707543,Regularizada,Tradicionalmente ocupada,,,,
41501,São Francisco do Canimari,Tikúna,Amaturá,AM,33312208,Regularizada,Tradicionalmente ocupada,,,,
41601,São Jeronimo,"Kaingang, Guarani, Xeta",São Jerônimo da Serra,PR,13393364,Regularizada,Tradicionalmente ocupada,,,,
41701,São Leopoldo,Tikúna,Benjamin Constant,AM,692705409,Regularizada,Tradicionalmente ocupada,,,,
41801,São Pedro,Múra,Autazes,AM,7261805,Regularizada,Tradicionalmente ocupada,,,,
41901,São Pedro do Sepatini,Apurinã,Lábrea,AM,276442488,Regularizada,Tradicionalmente ocupada,,,,
42001,São Sebastião,"Kaixana, Kokama",Tonantins,AM,610585408,Regularizada,Tradicionalmente ocupada,,,,
42101,Sararé,Nambikwára,"Conquista d´Oeste, Nova Lacerda, Vila Bela da Santissima Trindade",MT,674195158,Regularizada,Tradicionalmente ocupada,,,,
42201,Sassoró,Guarani Kaiowá,Tacuru,MS,19226435,Regularizada,Tradicionalmente ocupada,,,,
42301,Sepoti,Tenharim,"Manicoré, Humaita",AM,2513489840,Regularizada,Tradicionalmente ocupada,,,,
42401,Serra da Moça,Wapixana,Boa Vista,RR,116267912,Regularizada,Tradicionalmente ocupada,,,,
42501,Serra do Itatins,Guaraní,Itariri,SP,0,Regularizada,Tradicionalmente ocupada,,,,
42601,Serra Morena,Cinta Larga,Juína,MT,1478361460,Regularizada,Tradicionalmente ocupada,,,,
42701,Serrinha,Kaingang,"Ronda Alta, Tres Palmeiras, Engenho Velho, Constantina",RS,117527578,Declarada,Tradicionalmente ocupada,,,,
42801,Seruini/Mariene,Apurinã,"Pauini, Labrea",AM,1449713670,Regularizada,Tradicionalmente ocupada,,,,
42901,Sete Cerros,"Guarani Nhandeva, Guarani Kaiowa",Paranhos,MS,85847213,Homologada,Tradicionalmente ocupada,,,,
43001,Sete de Setembro,Suruí de Rondônia,"Cacoal, Espigão D'Oeste, Rondolandia",MT/RO,2481469290,Regularizada,Tradicionalmente ocupada,,,,
43101,Setemã,Múra,"Borba, Novo Aripuanã",AM,49430,Declarada,Tradicionalmente ocupada,,,,
43201,Sororó,Suruí do Pará,"Marabá, São Domingos do Araguaia, São Geraldo do Araguaia",PA,26257,Regularizada,Tradicionalmente ocupada,,,,
43301,Sucuba,Makuxí,Alto Alegre,RR,5983,Regularizada,Tradicionalmente ocupada,,,,
43401,Sucuriy,Guarani Kaiowá,Maracaju,MS,5351047,Regularizada,Tradicionalmente ocupada,,,,
43501,Tabalascada,Wapixana,Cantá,RR,130147374,Regularizada,Tradicionalmente ocupada,,,,
43601,Tabocal,Múra,Careiro,AM,9061516,Declarada,Tradicionalmente ocupada,,,,
43701,Tadarimana,Boróro,Rondonópolis,MT,9785,Regularizada,Tradicionalmente ocupada,,,,
43801,Taihantesu,Wasusu,Nova Lacerda,MT,53623344,Regularizada,Tradicionalmente ocupada,,,,
43901,Takuaraty/Yvykuarusu,Guarani Kaiowá,Paranhos,MS,2609094,Homologada,Tradicionalmente ocupada,,,,
44001,Tapirapé/Karajá,"Tapirapé, Karaja","Luciára , Santa Terezinha",MT,66166,Regularizada,Tradicionalmente ocupada,,,,
44101,Taquaperi,Guarani Kaiowá,Coronel Sapucaia,MS,17769594,Regularizada,Tradicionalmente ocupada,,,,
44201,Taquara,Guarani Kaiowá,Juti,MS,9700,Declarada,Tradicionalmente ocupada,,,,
44301,Pindoty,Guarani Mbya,"Araquari, Balneário Barra do Sul",SC,3294,Declarada,Tradicionalmente ocupada,,,,
44401,Taunay/Ipegue,Terena,Aquidauana,MS,64613459,Regularizada,Tradicionalmente ocupada,,X,,
44402,Taunay/Ipegue,Terena,Aquidauana,MS,33900,Delimitada,Tradicionalmente ocupada,Reestudo,,,
44501,Tekohá Añetete,Guaraní,Diamante D`Oeste,PR,17747063,Regularizada,Reserva Indigena,,,,
44601,Tembé,Tembé,Tomé-Açu,PA,10751881,Regularizada,Tradicionalmente ocupada,,,,
